annualizedDiv,bestAsk,bestBid,beta,currentYield,divPayDate,earnings_per_share,exDivDate,fiftyDayAvgVol,fiftytwoHigh,fiftytwoLow,forward_pe_one_year,industry,marketCap,oneyeartarget,pe_ratio,previousClose,price,shareVolume,symbol,todaysHigh,todaysLow
3,140.40,139.63,1.02,2.11,"
                        2/26/2019
                    ",5.30,"
                        2/14/2019
                    ","2,038,260",202.48,90.06,22.61,Consumer Services,15069506060,140,26.42,142.44,140,"1,579,836",WYNN,142.04,138.27
1.52,88.30,88.27,1.28,1.69,"
                        3/19/2019
                    ",6.25,"
                        2/25/2019
                    ","1,698,807",104.1998,60.115,14.98,Technology,15270851850,90,14.12,90,88.27,"1,156,372",SWKS,89.68,88.15
1.18,104.92,93,0.93,1.12,"
                        3/12/2019
                    ",4.19,"
                        2/22/2019
                    ","783,727",108.57,69.97,19.41,Consumer Services,15350034483,100,25.04,105.39,104.92,"533,912",CDW,105.39,104.61
,29.48,28,0.72,0,"
                        N/A
                    ",0.83,"
                        N/A
                    ","4,038,097",34.89,20.595,8.66,Consumer Services,15280241384,37,35.08,30.13,29.12,"3,813,977",DISCA,30.13,28.85
.19,56.78,54.63,1.3,3.91,"
                        5/7/2019
                    ",5.36,"
                        4/25/2019
                    ","1,702,534",62.07,40.42,9.90,Finance,15306975858,55.5,10.27,55.22,55.03,"1,242,981",PFG,55.41,54.78
.30,24.50,24,0.37,1.23,"
                        3/13/2019
                    ",-0.07,"
                        2/15/2019
                    ","4,352,483",29.20,17.425,21.03,Technology,15507407404,22.25,,24.40,24.26,"4,023,991",SYMC,24.42,24.045
,91.80,91.60,1.05,0,"
                        N/A
                    ",1.89,"
                        N/A
                    ","1,754,121",96.96,53.40,72.29,Technology,15624925253,90,48.45,91.08,91.57,"1,244,585",FTNT,91.94,90.61
2,54.34,54.21,1.17,3.61,"
                        4/15/2019
                    ",2.69,"
                        3/28/2019
                    ","6,323,553",91.5499,33.83,11.94,Technology,15767029349,53.5,20.15,55.39,54.21,"4,569,406",WDC,55.22,53.52
,91.37,91.37,0.04,0,"
                        N/A
                    ",2.17,"
                        N/A
                    ","259,076",115.54,67.72,23.97,Health Care,3147212396,120,46.18,100.67,100.21,"275,760",LHCG,101.44,99.38
.48,16,16,0.54,2.51,"
                        3/6/2019
                    ",1.73,"
                        2/12/2019
                    ","810,292",24.56,15.35,10.80,Finance,3134382308,24,10.74,19.12,18.58,"774,214",HOMB,19.25,18.375
1.28,,,0.13,0.90,"
                        2/12/2019
                    ",-0.43,"
                        1/28/2019
                    ","428,772",144.86,93.98,52.63,Consumer Non-Durables,3135141071,110,,141.58,141.5,"235,808",SAFM,142.70,140.72
3.28,,,0.76,2.76,"
                        3/15/2019
                    ",5.89,"
                        3/8/2019
                    ","40,126",155.2379,115.14,,Finance,3146071272,,19.87,118.80,117.01,"29,324",ANAT,118.86,117.01
,75.71,73.56,2.95,0,"
                        N/A
                    ",0.51,"
                        N/A
                    ","1,268,971",88.83,57,52.83,Health Care,15782725059,85,144.43,73.96,73.66,"1,242,941",INCY,74.64,72.36
.47,,,0.63,0.48,"
                        1/18/2019
                    ",2.43,"
                        12/24/2018
                    ","126,529",117.79,73.16,32.44,Basic Industries,3134095220,100.5,39.96,97.975,97.11,"62,780",BCPC,98.31,96.70
,68.50,68.50,0.87,0,"
                        N/A
                    ",6.01,"
                        N/A
                    ","778,873",103.05,47.86,10.00,Finance,3149659021,68,10.42,62.63,62.65,"842,695",TCBI,63.15,62.09
,15.59,15.58,0.8,0,"
                        N/A
                    ",-1.28,"
                        N/A
                    ","3,654,615",20.61,14.20,,Technology,3165341455,20,,15.41,15.58,"2,409,479",FEYE,15.60,15.26
.40,29.40,26,0.74,1.44,"
                        3/29/2019
                    ",1.78,"
                        3/13/2019
                    ","532,213",36.99,18.78,23.17,Consumer Services,3204854286,32,15.44,27.80,27.48,"215,502",RRR,27.79,27.36
,28,28,0.86,0,"
                        N/A
                    ",0.77,"
                        N/A
                    ","373,174",66.34,44.05,28.69,Health Care,3161305239,71.5,74.78,57.66,57.58,"350,990",MMSI,58.39,57.11
1.20,,,0.6,1.83,"
                        4/1/2019
                    ",3.93,"
                        3/8/2019
                    ","239,348",82.14,57,14.31,Finance,3210952168,68.5,16.66,65.68,65.46,"319,875",UMBF,66.64,64.76
,84.80,77.50,1.46,0,"
                        N/A
                    ",1.37,"
                        N/A
                    ","419,963",98.298,65.935,64.95,Technology,3229635498,90,60.39,81.19,82.73,"130,727",QLYS,82.92,81
,59.55,58.75,0.94,0,"
                        N/A
                    ",7.53,"
                        N/A
                    ","669,777",69.02,51.04,7.10,Consumer Services,3294737823,65,7.78,60.49,58.61,"360,463",AMCX,60.33,58.19
.44,,,0.71,1.47,"
                        3/29/2019
                    ",2.01,"
                        3/15/2019
                    ","412,998",30.41,22.24,13.82,Consumer Durables,3311783584,30,14.92,30,29.99,"402,469",SLGN,30.17,29.86
,70.50,68,0.03,0,"
                        N/A
                    ",0.43,"
                        N/A
                    ","448,215",69.61,36.28,59.41,Technology,3313979075,70,159.95,67.13,68.78,"183,143",ALRM,68.84,66.56
,120.92,120.92,0.86,0,"
                        N/A
                    ",4.08,"
                        N/A
                    ","122,674",169.84,111.61,27.74,Capital Goods,3231517383,145,31.92,130.92,130.22,"66,138",ROLL,130.63,129.51
,57,55,1.28,0,"
                        N/A
                    ",-6.03,"
                        N/A
                    ","436,062",99.8242,41.63,,Health Care,3322499762,94,,55.97,56.62,"282,419",AGIO,56.925,55.085
.44,10.50,10.09,0.86,4.29,"
                        4/1/2019
                    ",0.75,"
                        3/14/2019
                    ","2,049,780",13.37,8.42,10.69,Finance,3346397127,11,13.44,10.26,10.08,"934,934",VLY,10.29,10.05
,60.50,60.50,2.14,0,"
                        N/A
                    ",-3.91,"
                        N/A
                    ","682,966",90.98,37.44,,Health Care,3351592695,77.5,,64.43,65.36,"576,945",RARE,66.06,63.35
1.80,19.60,18.56,0.64,9.40,"
                        2/28/2019
                    ",1.51,"
                        2/14/2019
                    ","1,961,473",23.83,15.70,9.87,Consumer Services,3357823427,19,12.47,19.14,18.83,"1,150,263",SBRA,19.19,18.55
.16,16.50,15.19,0.76,1.04,"
                        3/21/2019
                    ",-1.48,"
                        3/6/2019
                    ","3,461,405",23.99,9.49,,Energy,3365377449,18,,15.38,16.16,"5,760,321",PTEN,16.27,15.51
.44,18,18,0.55,3.60,"
                        2/25/2019
                    ",0.71,"
                        2/8/2019
                    ","2,236,837",13.95,9.935,15.10,Finance,3377018894,13.75,16.94,12.23,12.03,"1,448,800",ISBC,12.245,12.015
,34.60,32.41,1.22,0,"
                        N/A
                    ",2.99,"
                        N/A
                    ","2,574,789",39.50,23.22,14.54,Consumer Services,15791400630,37.5,11.29,34.89,33.75,"2,532,345",DISH,34.77,33.57
,180,180,1.27,0,"
                        N/A
                    ",4.89,"
                        N/A
                    ","405,831",190.9962,136.80,37.39,Technology,15855479711,188,38.66,186.59,189.04,"285,459",ANSS,189.68,184.98
,61.22,61.01,1.32,0,"
                        N/A
                    ",1.61,"
                        N/A
                    ","1,690,319",61.95,33.30,41.91,Technology,16996521711,56,37.91,59.10,61.04,"1,901,661",MTCH,61.26,58.8057
,68.53,68.53,0.76,0,"
                        N/A
                    ",0.39,"
                        N/A
                    ","567,795",96.70,68.33,54.81,Consumer Services,17240091486,107,243.74,95.92,95.06,"466,217",LBRDK,95.89,94.87
1.84,59.75,58.71,1.23,3.08,"
                        3/14/2019
                    ",2.53,"
                        2/27/2019
                    ","1,772,257",63.68,46.64,24.50,Technology,16160575877,60,23.36,59.77,59.11,"1,378,533",MXIM,59.54,58.975
.40,65.63,64.47,0.66,0.62,"
                        3/15/2019
                    ",0.43,"
                        2/28/2019
                    ","1,702,943",66.30,40.96,17.79,Technology,16428854832,70,151.21,64.21,65.02,"645,611",SSNC,65.075,63.58
,68.05,68.05,0.7,0,"
                        N/A
                    ",0.39,"
                        N/A
                    ","114,347",96.435,67.75,71.01,Consumer Services,17247345890,105.5,243.85,95.86,95.1,"73,234",LBRDA,95.71,94.84
,68,67.81,0.65,0,"
                        N/A
                    ",1.23,"
                        N/A
                    ","2,164,737",65.64,36.645,45.26,Technology,18054966673,58,52.2,63.37,64.21,"2,307,564",CDNS,64.2725,63.25
,117.89,116.70,0.9,0,"
                        N/A
                    ",3.86,"
                        N/A
                    ","1,166,433",119.23,79.14,37.05,Technology,17419322450,121,30.31,115.98,116.99,"491,851",SNPS,117.46,115.01
,,,-1.11,0,"
                        N/A
                    ",0.83,"
                        N/A
                    ",184,46.30,25.45,,Consumer Services,18157932722,,41.69,34.6041,34.6041,0,DISCB,,
,520,520,0.64,0,"
                        N/A
                    ",6.54,"
                        N/A
                    ","198,560",491.97,315.85,53.35,Miscellaneous,17755685906,460,74.48,481.72,487.1,"141,245",CSGP,487.98,478.82
1.28,126.94,124.35,0.54,1.03,"
                        3/27/2019
                    ",2.64,"
                        3/6/2019
                    ","1,595,878",139.77,105.87,20.72,Consumer Services,18498502473,150,47.1,124.51,124.35,"1,591,151",EXPE,124.76,123.78
.50,111.39,110.96,0.75,0.47,"
                        2/28/2019
                    ",7.96,"
                        2/20/2019
                    ","1,807,804",140.78,85.19,13.97,Energy,18279225246,153,13.97,107.28,111.2,"2,347,449",FANG,111.47,108.28
1.60,80,75.27,1.03,2.06,"
                        4/24/2019
                    ",3.93,"
                        4/4/2019
                    ","2,899,141",88.08,54.50,19.23,Technology,18942964629,80,19.52,77.69,76.7,"1,707,423",NTAP,77.61,76.54
2.40,96.88,96.88,1.21,2.61,"
                        4/1/2019
                    ",6.64,"
                        3/7/2019
                    ","1,175,426",115.61,75.96,13.79,Finance,20073422560,108.5,13.84,91.87,91.87,"1,286,321",NTRS,92.50,91.21
,244.99,210,1.15,0,"
                        N/A
                    ",6.56,"
                        N/A
                    ","713,208",224.63,128.80,52.14,Consumer Services,18780021983,250,34.17,220.02,224.17,"586,478",IAC,225.03,218.059
1.72,70.43,69.88,0.94,2.42,"
                        5/22/2019
                    ",2.70,"
                        4/23/2019
                    ","1,988,702",71.11,47.37,24.94,Consumer Services,20070669092,70,25.96,71.08,70.1,"2,434,794",FAST,71.44,69.77
,223,219.50,1.67,0,"
                        N/A
                    ",4.27,"
                        N/A
                    ","473,972",256.22,176.11,46.59,Health Care,19066698033,240,51.89,218.49,221.59,"321,150",IDXX,222.79,216.82
,130.25,130,1.89,0,"
                        N/A
                    ",-1.91,"
                        N/A
                    ","1,750,253",143.70,83.69,,Technology,19509685390,154,,128.08,130,"1,295,041",SPLK,130.37,127.30
.88,27.92,27.50,0.48,3.20,"
                        4/15/2019
                    ",3.02,"
                        3/28/2019
                    ","8,691,435",34.67,22.12,9.86,Finance,21251778922,30,9.13,27.50,27.56,"8,936,219",FITB,27.72,27.22
